Counter,Value
0,2512
1,1312
2,752
3,496
4,416
5,384
6,384
7,336
8,336
9,288
10,288
11,320
12,320
13,336
14,320
15,320
16,304
17,336
18,352
19,336
20,304
21,304
22,320
23,352
24,320
25,352
26,288
27,304
28,336
29,304
30,336
31,304
32,320
33,336
34,336
35,336
36,320
37,304
38,336
39,336
40,352
41,336
42,320
43,320
44,336
45,336
46,320
47,336
48,320
49,304
50,320
51,336
52,368
53,336
54,352
55,288
56,288
57,320
58,352
59,352
60,320
61,336
62,320
63,320
64,368
65,336
66,368
67,320
68,304
69,336
70,320
71,336
72,288
73,304
74,336
75,336
76,352
77,336
78,320
79,320
80,336
81,320
82,336
83,336
84,352
85,320
86,320
87,336
88,352
89,336
90,320
91,320
92,320
93,320
94,368
95,336
96,352
97,304
98,320
99,336
100,336
101,336
102,288
103,320
104,336
105,336
106,336
107,320
108,320
109,320
110,320
111,336
112,320
113,352
114,304
115,336
116,336
117,336
118,304
119,336
120,336
121,336
122,320
123,352
124,304
125,304
126,336
127,336
128,320
129,320
130,320
131,304
132,320
133,368
134,304
135,304
136,320
137,320
138,352
139,336
140,336
141,288
142,288
143,336
144,336
145,336
146,304
147,320
148,336
149,352
150,352
151,336
152,320
153,304
154,320
155,336
156,320
157,368
158,320
159,336
160,368
161,336
162,336
163,288
164,336
165,336
166,336
167,320
168,304
169,304
170,320
171,304
172,352
173,336
174,336
175,336
176,336
177,352
178,336
179,352
180,320
181,320
182,336
183,336
184,352
185,336
186,304
187,304
188,320
189,336
190,336
191,352
192,320
193,320
194,336
195,320
196,336
197,288
198,304
199,336
200,336
201,336
202,320
203,304
204,304
205,320
206,368
207,336
208,352
209,304
210,304
211,336
212,320
213,352
214,288
215,288
216,336
217,352
218,336
219,336
220,288
221,304
222,320
223,352
224,336
225,352
226,288
227,304
228,320
229,320
230,336
231,288
232,320
233,336
234,336
235,336
236,304
237,288
238,336
239,336
240,352
241,320
242,336
243,288
244,288
245,336
246,320
247,336
248,288
249,288
250,320
251,320
252,336
253,288
254,304
255,320
256,336
257,352
258,336
259,304
260,304
261,320
262,320
263,304
264,304
265,304
266,304
267,320
268,320
269,336
270,320
271,320
272,336
273,336
274,352
275,320
276,336
277,352
278,320
279,336
280,320
281,320
282,336
283,320
284,320
285,272
286,288
287,320
288,320
289,336
290,288
291,320
292,320
293,320
294,336
295,320
296,320
297,304
298,304
299,352
300,336
301,320
302,336
303,320
304,352
305,320
306,320
307,288
308,288
309,336
310,336
311,336
312,304
313,336
314,336
315,336
316,336
317,320
318,304
319,304
320,304
321,336
322,304
323,352
324,272
325,304
326,336
327,336
328,336
329,320
330,304
331,304
332,304
333,336
334,320
335,304
336,320
337,336
338,368
339,336
340,352
341,288
342,304
343,320
344,320
345,320
346,272
347,304
348,336
349,352
350,352
351,336
352,320
353,320
354,320
355,336
356,304
357,336
358,336
359,320
360,336
361,320
362,336
363,288
364,304
365,320
366,320
367,320
368,304
369,320
370,336
371,320
372,336
373,320
374,336
375,288
376,288
377,320
378,336
379,336
380,336
381,304
382,304
383,304
384,336
385,336
386,352
387,288
388,304
389,320
390,320
391,320
392,320
393,320
394,320
395,320
396,320
397,304
398,304
399,304
400,304
401,352
402,320
403,352
404,304
405,288
406,320
407,320
408,336
409,272
410,320
411,336
412,336
413,336
414,320
415,288
416,304
417,320
418,336
419,320
420,352
421,320
422,320
423,320
424,320
425,320
426,304
427,320
428,320
429,320
430,320
431,320
432,304
433,320
434,336
435,352
436,336
437,352
438,304
439,320
440,336
441,336
442,336
443,304
444,320
445,320
446,336
447,336
448,320
449,336
450,320
451,288
452,288
453,304
454,336
455,320
456,336
457,288
458,304
459,320
460,320
461,320
462,304
463,336
464,336
465,336
466,336
467,320
468,288
469,304
470,304
471,320
472,304
473,288
474,336
475,320
476,320
477,304
478,288
479,304
480,320
481,368
482,336
483,352
484,288
485,320
486,336
487,320
488,336
489,272
490,288
491,320
492,336
493,336
494,336
495,320
496,336
497,336
498,320
499,320
500,304
501,320
502,304
503,368
504,336
505,352
506,320
507,320
508,320
509,304
510,320
511,272
512,304
513,320
514,336
515,336
516,304
517,320
518,320
519,320
520,320
521,304
522,304
523,320
524,320
525,368
526,336
527,352
528,320
529,320
530,352
531,320
532,320
533,272
534,288
535,320
536,320
537,320
538,288
539,320
