Counter,Voltage
0,0.07
1,0.154
2,0.16
3,0.132
4,0.11
5,0.09
6,0.074
7,0.062
8,0.056
9,0.05
10,0.048
11,0.044
12,0.044
13,0.044
14,0.042
15,0.042
16,0.042
17,0.04
18,0.04
19,0.042
0,0.032
1,0.018
2,0.012
3,0.008
4,0.006
5,0.004
6,0.004
7,0.004
8,0.004
9,0.004
10,0.004
11,0.004
12,0.004
13,0.004
14,0.004
15,0.004
16,0.004
17,0.004
18,0.004
19,0.004
0,0.048
1,0.144
2,0.15
3,0.13
4,0.106
5,0.086
6,0.072
7,0.06
8,0.052
9,0.048
10,0.048
11,0.044
12,0.042
13,0.042
14,0.042
15,0.04
16,0.04
17,0.042
18,0.042
19,0.04
0,0.032
1,0.018
2,0.012
3,0.008
4,0.006
5,0.006
6,0.006
7,0.004
8,0.004
9,0.004
10,0.004
11,0.004
12,0.004
13,0.004
14,0.004
15,0.004
16,0.004
17,0.004
18,0.004
19,0.004
0,0.056
1,0.154
2,0.138
3,0.114
4,0.092
5,0.074
6,0.064
7,0.056
8,0.052
9,0.048
10,0.044
11,0.044
12,0.042
13,0.04
14,0.042
15,0.042
16,0.04
17,0.042
18,0.04
19,0.04
0,0.032
1,0.018
2,0.012
3,0.008
4,0.006
5,0.006
6,0.004
7,0.004
8,0.004
9,0.004
10,0.004
11,0.004
12,0.004
13,0.004
14,0.004
15,0.004
16,0.004
17,0.002
18,0.004
19,0.004
0,0.058
1,0.146
2,0.152
3,0.128
4,0.104
5,0.084
6,0.07
7,0.058
8,0.054
9,0.048
10,0.046
11,0.044
12,0.042
13,0.042
14,0.042
15,0.04
16,0.042
17,0.04
18,0.04
19,0.042
0,0.034
1,0.018
2,0.01
3,0.008
4,0.006
5,0.004
6,0.004
7,0.004
8,0.006
9,0.004
10,0.004
11,0.004
12,0.004
13,0.004
14,0.004
15,0.004
16,0.004
17,0.004
18,0.004
19,0.004
