Counter,Voltage
0,0.302
1,0.128
2,0.062
3,0.058
4,0.038
5,0.042
6,0.04
7,0.046
8,0.038
9,0.038
10,0.046
11,0.034
12,0.032
13,0.046
14,0.046
15,0.04
16,0.046
17,0.042
18,0.04
19,0.044
20,0.044
21,0.042
22,0.04
23,0.032
24,0.038
25,0.048
26,0.044
27,0.032
28,0.038
29,0.046
30,0.036
31,0.036
32,0.046
33,0.042
34,0.042
35,0.03
36,0.044
37,0.044
38,0.038
39,0.032
40,0.04
41,0.046
42,0.042
43,0.032
44,0.044
45,0.042
46,0.034
47,0.044
48,0.044
49,0.04
50,0.038
51,0.044
52,0.04
53,0.036
54,0.04
55,0.044
56,0.04
57,0.038
58,0.044
59,0.044
60,0.038
61,0.034
62,0.038
63,0.04
64,0.048
65,0.046
66,0.034
67,0.036
68,0.04
69,0.038
70,0.036
71,0.04
72,0.04
73,0.04
74,0.036
75,0.046
76,0.044
77,0.046
78,0.038
79,0.038
80,0.046
81,0.048
82,0.038
83,0.048
84,0.034
85,0.042
86,0.04
87,0.036
88,0.046
89,0.04
90,0.04
91,0.042
92,0.04
93,0.04
94,0.04
95,0.046
96,0.036
97,0.036
98,0.05
99,0.04
